station1,station1_kana,station2,station2_kana,distance,line
桜田門,さくらだもん,有楽町,ゆうらくちょう,1.0,有楽町線
有楽町,ゆうらくちょう,銀座一丁目,ぎんざいっちょうめ,0.5,有楽町線
銀座一丁目,ぎんざいっちょうめ,新富町,しんとみちょう,0.7,有楽町線
新富町,しんとみちょう,月島,つきしま,1.3,有楽町線
月島,つきしま,豊洲,とよす,1.4,有楽町線
豊洲,とよす,辰巳,たつみ,1.7,有楽町線
辰巳,たつみ,新木場,しんきば,1.5,有楽町線
渋谷,しぶや,表参道,おもてさんどう,1.3,半蔵門線
表参道,おもてさんどう,青山一丁目,あおやまいっちょうめ,1.4,半蔵門線
青山一丁目,あおやまいっちょうめ,永田町,ながたちょう,1.3,半蔵門線
永田町,ながたちょう,半蔵門,はんぞうもん,1.0,半蔵門線
半蔵門,はんぞうもん,九段下,くだんした,1.6,半蔵門線
九段下,くだんした,神保町,じんぼうちょう,0.4,半蔵門線
神保町,じんぼうちょう,大手町,おおてまち,1.7,半蔵門線
大手町,おおてまち,三越前,みつこしまえ,0.7,半蔵門線
三越前,みつこしまえ,水天宮前,すいてんぐうまえ,1.3,半蔵門線
水天宮前,すいてんぐうまえ,清澄白河,きよすみしらかわ,1.7,半蔵門線
清澄白河,きよすみしらかわ,住吉,すみよし,1.9,半蔵門線
住吉,すみよし,錦糸町,きんしちょう,1.0,半蔵門線
錦糸町,きんしちょう,押上,おしあげ,1.4,半蔵門線
目黒,めぐろ,白金台,しろかねだい,1.3,南北線
白金台,しろかねだい,白金高輪,しろかねたかなわ,1.0,南北線
白金高輪,しろかねたかなわ,麻布十番,あざぶじゅうばん,1.3,南北線
麻布十番,あざぶじゅうばん,六本木一丁目,ろっぽんぎいっちょうめ,1.2,南北線
六本木一丁目,ろっぽんぎいっちょうめ,溜池山王,ためいけさんのう,0.9,南北線
溜池山王,ためいけさんのう,永田町,ながたちょう,0.9,南北線
永田町,ながたちょう,四ツ谷,よつや,1.3,南北線
四ツ谷,よつや,市ケ谷,いちがや,1.0,南北線
市ケ谷,いちがや,飯田橋,いいだばし,1.1,南北線
飯田橋,いいだばし,後楽園,こうらくえん,1.4,南北線
後楽園,こうらくえん,東大前,とうだいまえ,1.3,南北線
東大前,とうだいまえ,本駒込,ほんこまごめ,0.9,南北線
本駒込,ほんこまごめ,駒込,こまごめ,1.4,南北線
駒込,こまごめ,西ケ原,にしがはら,1.4,南北線
西ケ原,にしがはら,王子,おうじ,1.0,南北線
王子,おうじ,王子神谷,おうじかみや,1.2,南北線
王子神谷,おうじかみや,志茂,しも,1.6,南北線
志茂,しも,赤羽岩淵,あかばねいわぶち,1.1,南北線
小竹向原,こたけむかいはら,千川,せんかわ,1.0,副都心線
千川,せんかわ,要町,かなめちょう,1.0,副都心線
要町,かなめちょう,池袋,いけぶくろ,1.2,副都心線
池袋,いけぶくろ,雑司が谷,ぞうしがや,1.8,副都心線
雑司が谷,ぞうしがや,西早稲田,にしわせだ,1.5,副都心線
西早稲田,にしわせだ,東新宿,ひがししんじゅく,0.9,副都心線
東新宿,ひがししんじゅく,新宿三丁目,しんじゅくさんちょうめ,1.1,副都心線
新宿三丁目,しんじゅくさんちょうめ,北参道,きたさんどう,1.4,副都心線
北参道,きたさんどう,明治神宮前〈原宿〉,めいじじんぐうまえ（はらじゅく）,1.2,副都心線
明治神宮前〈原宿〉,めいじじんぐうまえ（はらじゅく）,渋谷,しぶや,1.0,副都心線
赤坂見附,あかさかみつけ,永田町,ながたちょう,0.0,同一駅
溜池山王,ためいけさんのう,国会議事堂前,こっかいぎじどうまえ,0.0,同一駅
虎ノ門,とらのもん,虎ノ門ヒルズ,とらのもんひるず,0.0,同一駅
銀座,ぎんざ,銀座一丁目,ぎんざいっちょうめ,0.0,同一駅
上野広小路,うえのひろこうじ,仲御徒町,なかおかちまち,0.0,同一駅
淡路町,あわじちょう,新御茶ノ水,しんおちゃのみず,0.0,同一駅
日比谷,ひびや,有楽町,ゆうらくちょう,0.0,同一駅
築地,つきじ,新富町,しんとみちょう,0.0,同一駅
人形町,にんぎょうちょう,水天宮前,すいてんぐうまえ,0.0,同一駅
